product_id,warehouse_id,stock_quantity,reorder_level,last_updated
P0001,WH03,4100.0,880,2026-09-08
P0002,WH02,4158.0,208,2026-09-11
P0003,WH03,4158.0,723,2026-09-15
P0004,WH02,1252.0,482,2026-09-11
P0005,WH02,4418.0,897,2026-08-26
P0006,WH05,4.0,713,2026-09-02
P0007,WH03,4002.0,119,2026-08-31
P0008,WH01,2973.0,999,2026-08-24
P0009,WH03,1961.0,159,2026-09-06
P0010,WH02,4647.0,180,2026-08-22
P0011,WH01,3981.0,935,2026-09-18
P0012,WH01,4363.0,884,2026-09-16
P0013,WH02,1051.0,775,2026-09-01
P0014,WH04,4503.0,269,2026-09-18
P0015,WH03,4322.0,993,2026-08-31
P0016,WH05,3466.0,316,2026-08-21
P0017,WH05,1647.0,830,2026-08-24
P0018,WH03,3268.0,787,2026-08-23
P0019,WH03,3588.0,629,2026-09-01
P0020,WH04,991.0,353,2026-08-24
P0021,WH02,524.0,446,2026-08-22
P0022,WH01,4819.0,667,2026-09-06
P0023,WH02,4820.0,325,2026-08-24
P0024,WH01,581.0,824,2026-09-14
P0025,WH01,1875.0,169,2026-09-01
P0026,WH01,2706.0,172,2026-09-03
P0027,WH05,1949.0,385,2026-09-13
P0028,WH04,1755.0,652,2026-08-31
P0029,WH02,4677.0,690,2026-09-16
P0030,WH04,1990.0,903,2026-08-27
P0031,WH04,3334.0,294,2026-09-17
P0032,WH01,794.0,774,2026-09-17
P0033,WH04,2902.0,533,2026-09-12
P0034,WH04,3825.0,984,2026-09-01
P0035,WH01,806.0,162,2026-09-12
P0036,WH04,2779.0,919,2026-09-09
P0037,WH01,2036.0,296,2026-08-30
P0038,WH02,4393.0,559,2026-08-25
P0039,WH02,3456.0,287,2026-08-25
P0040,WH03,3789.0,355,2026-09-10
P0041,WH01,3630.0,927,2026-09-07
P0042,WH05,802.0,151,2026-09-10
P0043,WH05,120.0,195,2026-09-09
P0044,WH02,1362.0,516,2026-09-12
P0045,WH04,3943.0,318,2026-08-23
P0046,WH04,480.0,268,2026-08-25
P0047,WH04,17.0,499,2026-08-23
