order_id,product_id,supplier_id,order_date,quantity,unit_price,status
ORD000001,P0125,S028,2026-04-20,604,2008.24,Delivered
ORD000002,P0446,S020,2026-07-03,764,1704.17,Shipped
ORD000003,P0040,S033,2026-05-06,649,578.99,Processing
ORD000004,P0180,S047,2026-06-21,982,4096.55,Processing
ORD000005,P0053,S010,2026-05-23,263,994.39,Processing
ORD000006,P0039,S012,2026-09-07,975,3866.51,Cancelled
ORD000007,P0387,S037,2026-07-20,779,2901.55,Shipped
ORD000008,P0162,S010,2026-08-31,451,350.75,Cancelled
ORD000009,P0156,S018,2026-09-01,606,290.3,Delivered
ORD000010,P0237,S029,2026-06-11,39,293.88,Shipped
ORD000011,P0331,S006,2026-04-12,630,2974.46,Cancelled
ORD000012,P0298,S036,2026-07-20,978,3961.17,Delivered
ORD000013,P0466,S037,2026-07-17,668,949.31,Cancelled
ORD000014,P0078,S004,2026-07-30,462,526.47,Shipped
ORD000015,P0259,S042,2026-04-14,177,205.32,Cancelled
ORD000016,P0269,S034,2026-07-14,625,802.14,Shipped
ORD000017,P0199,S027,2026-06-04,794,1698.45,Delivered
ORD000018,P0332,S022,2026-09-01,68,1655.16,Cancelled
ORD000019,P0130,S047,2026-06-04,873,3286.25,Processing
ORD000020,P0042,S038,2026-06-17,680,715.73,Shipped
ORD000021,P0496,S042,2026-06-11,716,3314.05,Processing
ORD000022,P0363,S006,2026-08-23,318,2799.02,Shipped
ORD000023,P0344,S045,2026-04-25,849,4736.07,Delivered
ORD000024,P0344,S028,2026-09-05,521,1815.52,Shipped
ORD000025,P0093,S014,2026-06-11,350,4738.86,Cancelled
ORD000026,P0116,S009,2026-05-12,159,395.05,Delivered
ORD000027,P0395,S035,2026-07-31,856,3695.83,Delivered
ORD000028,P0173,S050,2026-09-09,633,663.93,Cancelled
ORD000029,P0084,S012,2026-05-02,852,3467.3,Processing
ORD000030,P0023,S027,2026-07-14,374,3385.05,Processing
ORD000031,P0313,S019,2026-07-15,771,3745.2,Cancelled
ORD000032,P0274,S016,2026-05-22,317,4828.33,Cancelled
ORD000033,P0189,S044,2026-05-12,970,2856.39,Cancelled
ORD000034,P0394,S019,2026-07-20,797,1915.54,Cancelled
ORD000035,P0419,S013,2026-05-04,821,3027.27,Shipped
ORD000036,P0329,S031,2026-04-06,896,1862.35,Delivered
ORD000037,P0436,S008,2026-08-03,292,428.54,Processing
ORD000038,P0231,S033,2026-06-01,151,4156.92,Delivered
ORD000039,P0419,S029,2026-05-19,906,1754.43,Delivered
ORD000040,P0028,S026,2026-07-08,515,1876.07,Cancelled
ORD000041,P0192,S015,2026-04-13,29,1600.24,Delivered
ORD000042,P0172,S010,2026-09-06,141,201.13,Cancelled
ORD000043,P0426,S009,2026-09-18,778,3530.63,Cancelled
ORD000044,P0003,S006,2026-08-28,20,1287.06,Processing
ORD000045,P0482,S047,2026-08-11,624,2643.58,Delivered
ORD000046,P0122,S020,2026-06-05,125,248.27,Cancelled
ORD000047,P0407,S040,2026-09-03,469,323.41,Cancelled
ORD000048,P0275,S002,2026-08-23,648,2581.72,Processing
ORD000049,P0150,S028,2026-04-29,2,3077.9,Processing
ORD000050,P0214,S012,2026-08-17,681,3344.39,Shipped
ORD000051,P0489,S034,2026-04-10,558,2541.57,Delivered
ORD000052,P0448,S031,2026-07-01,45,3182.0,Shipped
ORD000053,P0383,S002,2026-05-27,366,3944.71,Shipped
ORD000054,P0376,S043,2026-05-24,644,527.28,Shipped
ORD000055,P0023,S023,2026-04-27,560,1699.35,Processing
ORD000056,P0238,S045,2026-09-15,491,3162.36,Processing
ORD000057,P0367,S050,2026-04-09,967,2293.82,Shipped
ORD000058,P0023,S013,2026-05-14,908,219.11,Shipped
ORD000059,P0204,S035,2026-08-02,485,1274.04,Processing
ORD000060,P0183,S050,2026-06-05,49,4330.33,Shipped
ORD000061,P0064,S024,2026-06-01,448,4448.54,Cancelled
ORD000062,P0174,S012,2026-06-30,509,3463.42,Shipped
ORD000063,P0137,S006,2026-08-03,745,2128.25,Cancelled
ORD000064,P0422,S012,2026-08-25,559,1475.89,Delivered
ORD000065,P0168,S043,2026-04-13,303,1539.41,Cancelled
ORD000066,P0354,S029,2026-05-05,360,2241.18,Shipped
ORD000067,P0223,S018,2026-08-28,655,4900.34,Delivered
ORD000068,P0344,S041,2026-04-12,416,1822.92,Processing
ORD000069,P0074,S039,2026-03-31,695,3908.75,Delivered
ORD000070,P0035,S016,2026-04-25,798,3229.36,Shipped
ORD000071,P0487,S037,2026-06-30,34,3029.42,Cancelled
ORD000072,P0191,S029,2026-06-26,782,393.66,Processing
ORD000073,P0188,S026,2026-08-06,322,3251.31,Processing
ORD000074,P0014,S048,2026-04-22,191,2500.23,Cancelled
ORD000075,P0061,S017,2026-08-14,794,1308.85,Cancelled
ORD000076,P0314,S019,2026-05-17,711,4583.23,Cancelled
ORD000077,P0063,S009,2026-05-14,874,379.52,Processing
ORD000078,P0045,S044,2026-07-15,991,4229.15,Shipped
ORD000079,P0178,S046,2026-09-10,67,2754.49,Shipped
ORD000080,P0436,S011,2026-06-08,729,3550.72,Processing
ORD000081,P0261,S015,2026-06-24,125,4925.81,Processing
ORD000082,P0405,S032,2026-05-23,27,1810.87,Shipped
ORD000083,P0412,S036,2026-07-21,133,3063.62,Delivered
ORD000084,P0159,S026,2026-04-09,735,3597.16,Cancelled
ORD000085,P0422,S037,2026-07-06,76,635.38,Shipped
ORD000086,P0038,S029,2026-09-04,478,3403.74,Shipped
ORD000087,P0450,S050,2026-04-25,565,3202.57,Processing
ORD000088,P0222,S033,2026-04-26,933,4342.38,Delivered
ORD000089,P0079,S020,2026-08-03,169,818.22,Processing
ORD000090,P0486,S034,2026-06-20,917,1427.4,Delivered
ORD000091,P0101,S041,2026-05-27,980,2758.7,Processing
ORD000092,P0156,S040,2026-08-31,547,476.21,Processing
ORD000093,P0483,S038,2026-08-22,158,864.29,Shipped
ORD000094,P0022,S002,2026-08-15,84,236.85,Shipped
ORD000095,P0108,S050,2026-09-06,586,2088.77,Delivered
ORD000096,P0456,S041,2026-07-29,559,1455.46,Shipped
ORD000097,P0126,S044,2026-07-25,416,1494.2,Delivered
ORD000098,P0031,S011,2026-09-16,451,2083.95,Cancelled
ORD000099,P0175,S039,2026-05-15,148,1569.79,Shipped
ORD000100,P0500,S026,2026-06-20,134,3805.72,Delivered
ORD000101,P0124,S030,2026-06-13,126,1344.68,Processing
ORD000102,P0050,S004,2026-04-29,298,4727.47,Cancelled
ORD000103,P0493,S011,2026-05-26,834,1643.9,Shipped
ORD000104,P0391,S011,2026-05-11,511,4979.89,Cancelled
ORD000105,P0451,S020,2026-07-29,510,125.65,Cancelled
ORD000106,P0235,S016,2026-07-31,221,2920.89,Delivered
ORD000107,P0145,S032,2026-04-05,612,4412.87,Cancelled
ORD000108,P0275,S001,2026-06-05,868,546.41,Processing
ORD000109,P0373,S024,2026-05-30,783,2022.24,Delivered
ORD000110,P0027,S037,2026-07-04,576,981.33,Shipped
ORD000111,P0198,S033,2026-04-11,462,3824.38,Shipped
ORD000112,P0349,S040,2026-08-30,122,652.03,Delivered
ORD000113,P0192,S022,2026-07-02,572,4695.35,Processing
ORD000114,P0309,S033,2026-05-13,412,2505.39,Delivered
ORD000115,P0071,S046,2026-04-02,342,4021.79,Cancelled
ORD000116,P0311,S033,2026-05-01,144,1646.55,Shipped
ORD000117,P0202,S040,2026-05-04,758,4214.58,Shipped
ORD000118,P0425,S033,2026-07-31,546,2454.33,Shipped
ORD000119,P0418,S002,2026-07-23,378,1662.89,Delivered
ORD000120,P0299,S020,2026-07-08,816,4494.85,Delivered
ORD000121,P0243,S017,2026-08-23,991,3281.4,Processing
ORD000122,P0299,S031,2026-04-06,175,2625.92,Cancelled
ORD000123,P0421,S044,2026-04-30,249,167.54,Delivered
ORD000124,P0010,S029,2026-05-11,322,2099.71,Cancelled
ORD000125,P0105,S027,2026-09-16,514,3877.11,Cancelled
ORD000126,P0362,S009,2026-04-08,532,1044.64,Shipped
ORD000127,P0245,S034,2026-09-09,386,1575.63,Processing
ORD000128,P0468,S035,2026-07-19,351,2735.9,Shipped
ORD000129,P0248,S013,2026-08-27,981,1240.13,Shipped
ORD000130,P0483,S020,2026-05-20,790,1452.13,Processing
ORD000131,P0361,S032,2026-09-16,325,2404.22,Shipped
ORD000132,P0063,S037,2026-06-05,693,2720.52,Cancelled
ORD000133,P0489,S050,2026-06-20,824,740.92,Delivered
ORD000134,P0490,S046,2026-06-05,81,1738.35,Cancelled
ORD000135,P0132,S048,2026-09-07,491,1077.79,Shipped
ORD000136,P0357,S018,2026-08-14,141,555.04,Processing
ORD000137,P0026,S043,2026-05-25,927,2659.9,Processing
ORD000138,P0052,S027,2026-04-06,339,3589.62,Delivered
ORD000139,P0395,S009,2026-09-14,6,4822.95,Processing
ORD000140,P0335,S031,2026-07-06,489,3256.19,Shipped
ORD000141,P0147,S042,2026-06-14,61,4540.61,Delivered
ORD000142,P0294,S015,2026-09-06,548,3696.05,Delivered
ORD000143,P0214,S012,2026-05-07,957,4598.98,Cancelled
ORD000144,P0096,S048,2026-07-28,986,4362.73,Shipped
ORD000145,P0005,S020,2026-04-02,582,3017.89,Shipped
ORD000146,P0233,S042,2026-06-04,557,2626.35,Processing
ORD000147,P0240,S018,2026-07-31,198,4045.98,Shipped
ORD000148,P0375,S030,2026-05-04,664,1293.75,Processing
ORD000149,P0378,S022,2026-03-27,810,1482.17,Processing
ORD000150,P0313,S041,2026-05-07,919,2033.4,Cancelled
ORD000151,P0168,S006,2026-08-02,411,3349.59,Processing
ORD000152,P0245,S021,2026-04-28,959,1247.75,Shipped
ORD000153,P0121,S029,2026-06-30,772,1342.3,Shipped
ORD000154,P0299,S047,2026-06-09,587,67.06,Shipped
ORD000155,P0121,S004,2026-09-17,684,599.94,Shipped
ORD000156,P0208,S044,2026-05-03,515,4616.3,Shipped
ORD000157,P0061,S041,2026-09-16,939,4703.77,Shipped
ORD000158,P0114,S015,2026-08-28,981,676.51,Processing
ORD000159,P0383,S039,2026-07-18,383,2085.07,Cancelled
ORD000160,P0411,S043,2026-08-08,846,1099.87,Processing
ORD000161,P0387,S039,2026-09-14,895,3938.98,Cancelled
ORD000162,P0361,S024,2026-08-06,80,4587.05,Delivered
ORD000163,P0425,S036,2026-04-08,925,2532.38,Processing
ORD000164,P0168,S034,2026-05-05,453,590.04,Processing
ORD000165,P0251,S006,2026-08-20,921,2556.77,Delivered
ORD000166,P0068,S033,2026-07-18,426,2289.42,Delivered
ORD000167,P0237,S044,2026-08-14,827,1547.77,Delivered
ORD000168,P0131,S001,2026-07-03,764,1097.33,Delivered
ORD000169,P0217,S023,2026-04-04,718,328.16,Delivered
ORD000170,P0479,S031,2026-04-10,33,1442.58,Processing
ORD000171,P0393,S042,2026-04-27,747,3232.95,Cancelled
ORD000172,P0457,S025,2026-06-27,460,4349.41,Cancelled
ORD000173,P0042,S044,2026-06-28,988,3312.34,Processing
ORD000174,P0441,S023,2026-09-07,122,900.58,Cancelled
